,Unnamed: 0,Date,Team,Notes,Player,dateTime,Year,Tokenized Notes,Body,Injury,Severity,Player_Identifier
7516,8821,2017-05-04,Warriors,head coach illness (DTD),Steve Kerr,2017-05-04,2017,"['head', 'coach', 'illness', '(', 'dtd', ')']",['head'],['illness'],['dtd'],
7518,8823,2017-05-06,Warriors,head coach illness (DTD),Steve Kerr,2017-05-06,2017,"['head', 'coach', 'illness', '(', 'dtd', ')']",['head'],['illness'],['dtd'],
7519,8824,2017-05-08,Rockets,torn left adductor muscle (out for season),Nene Hilario ,2017-05-08,2017,"['torn', 'left', 'adductor', 'muscle', '(', 'out', 'for', 'season', ')']","['left', 'adductor']",['torn'],['season'],
7532,8837,2017-07-04,Timberwolves,surgery on left foot to repair fracture (out indefinitely),Justin Patton,2017-07-04,2017,"['surgery', 'on', 'left', 'foot', 'to', 'repair', 'fracture', '(', 'out', 'indefinitely', ')']","['left', 'foot']","['surgery', 'fracture']",['indefinitely'],
7540,8845,2017-09-13,Hawks,strained right triceps (out indefinitely),DeAndre Bembry,2017-09-13,2017,"['strained', 'right', 'triceps', '(', 'out', 'indefinitely', ')']","['right', 'triceps']",['strained'],['indefinitely'],
7541,8846,2017-09-18,Raptors,torn ACL in knee (out indefinitely),O.G. Anunoby,2017-09-18,2017,"['torn', 'acl', 'in', 'knee', '(', 'out', 'indefinitely', ')']","['acl', 'knee']",['torn'],['indefinitely'],
7543,8848,2017-09-25,Suns,surgery on right knee to repair torn meniscus (out indefinitely),Alan Williams,2017-09-25,2017,"['surgery', 'on', 'right', 'knee', 'to', 'repair', 'torn', 'meniscus', '(', 'out', 'indefinitely', ')']","['right', 'knee', 'meniscus']","['surgery', 'torn']",['indefinitely'],willial03
7545,8850,2017-09-30,Pacers,high ankle sprain (DTD),Glenn Robinson III,2017-09-30,2017,"['high', 'ankle', 'sprain', '(', 'dtd', ')']",['ankle'],[],['dtd'],
7560,8865,2017-10-12,Pelicans,illness (DTD),Omer Asik,2017-10-12,2017,"['illness', '(', 'dtd', ')']",[],['illness'],['dtd'],
7561,8866,2017-10-12,Suns,surgery on left knee to repair torn meniscus (out indefinitely),Davon Reed,2017-10-12,2017,"['surgery', 'on', 'left', 'knee', 'to', 'repair', 'torn', 'meniscus', '(', 'out', 'indefinitely', ')']","['left', 'knee', 'meniscus']","['surgery', 'torn']",['indefinitely'],reedda01
7562,8867,2017-10-14,Pacers,surgery on left ankle (out indefinitely),Glenn Robinson III,2017-10-14,2017,"['surgery', 'on', 'left', 'ankle', '(', 'out', 'indefinitely', ')']","['left', 'ankle']",['surgery'],['indefinitely'],
7564,8869,2017-10-17,Bulls,fractured bones in face (out indefinitely),Nikola Mirotic,2017-10-17,2017,"['fractured', 'bones', 'in', 'face', '(', 'out', 'indefinitely', ')']",[],['fractured'],['indefinitely'],
7566,8871,2017-10-17,Kings,sprained right ankle (DTD),Bogdan Bogdanovic,2017-10-17,2017,"['sprained', 'right', 'ankle', '(', 'dtd', ')']","['right', 'ankle']",['sprained'],['dtd'],
7572,8877,2017-10-18,Pacers,knee injury (DTD),Ike Anigbogu,2017-10-18,2017,"['knee', 'injury', '(', 'dtd', ')']",['knee'],['injury'],['dtd'],anigbik01
7579,8887,2017-10-21,Raptors,sore/sprained left ankle (DTD),Jonas Valanciunas,2017-10-21,2017,"['sore/sprained', 'left', 'ankle', '(', 'dtd', ')']","['left', 'ankle']",[],['dtd'],
7580,8888,2017-10-22,Clippers,plantar fascia in left foot (out indefinitely),Milos Tedosic,2017-10-22,2017,"['plantar', 'fascia', 'in', 'left', 'foot', '(', 'out', 'indefinitely', ')']","['plantar', 'left', 'foot']",[],['indefinitely'],
7582,8890,2017-10-23,Hawks,strained left knee (DTD),Ersan Ilyasova,2017-10-23,2017,"['strained', 'left', 'knee', '(', 'dtd', ')']","['left', 'knee']",['strained'],['dtd'],
7584,8892,2017-10-24,Hawks,surgery on right wrist to repair fracture,DeAndre Bembry,2017-10-24,2017,"['surgery', 'on', 'right', 'wrist', 'to', 'repair', 'fracture']","['right', 'wrist']","['surgery', 'fracture']",[],
7603,8920,2017-10-30,Spurs,rest (DTD),Manu Ginobili,2017-10-30,2017,"['rest', '(', 'dtd', ')']",[],['rest'],"['rest', 'dtd']",
7606,8923,2017-11-01,Grizzlies,sore left Achilles (DTD),Mike Conley Jr.,2017-11-01,2017,"['sore', 'left', 'achilles', '(', 'dtd', ')']","['left', 'achilles']",['sore'],['dtd'],
7611,8929,2017-11-02,Magic,strained left hamstring (DTD),D.J. Augustine,2017-11-02,2017,"['strained', 'left', 'hamstring', '(', 'dtd', ')']","['left', 'hamstring']",['strained'],['dtd'],
7613,8933,2017-11-03,Lakers,surgery on left hand/thumb to repair fracture (out indefinitley),Larry Nance Jr.,2017-11-03,2017,"['surgery', 'on', 'left', 'hand/thumb', 'to', 'repair', 'fracture', '(', 'out', 'indefinitley', ')']",['left'],"['surgery', 'fracture']",[],
7618,8939,2017-11-04,Grizzlies,right quadricep injury (DTD),Wayne Selden Jr.,2017-11-04,2017,"['right', 'quadricep', 'injury', '(', 'dtd', ')']",['right'],['injury'],['dtd'],
7621,8943,2017-11-07,Grizzlies,right thigh injury (DTD),Wayne Selden Jr.,2017-11-07,2017,"['right', 'thigh', 'injury', '(', 'dtd', ')']",['right'],['injury'],['dtd'],
7633,8957,2017-11-11,Spurs,rest (DTD),Manu Ginobili,2017-11-11,2017,"['rest', '(', 'dtd', ')']",[],['rest'],"['rest', 'dtd']",
7638,8963,2017-11-12,Rockets,sore ankle (DTD),Nene Hilario ,2017-11-12,2017,"['sore', 'ankle', '(', 'dtd', ')']",['ankle'],['sore'],['dtd'],
7643,8968,2017-11-14,Rockets,sprained right foot (DTD),Nene Hilario ,2017-11-14,2017,"['sprained', 'right', 'foot', '(', 'dtd', ')']","['right', 'foot']",['sprained'],['dtd'],
7648,8978,2017-11-17,Grizzlies,right quadricep injury (DTD),Wayne Selden Jr.,2017-11-17,2017,"['right', 'quadricep', 'injury', '(', 'dtd', ')']",['right'],['injury'],['dtd'],
7651,8982,2017-11-17,Grizzlies,concussion (DTD),Ivan Rabb,2017-11-17,2017,"['concussion', '(', 'dtd', ')']",[],['concussion'],['dtd'],rabbiv01
7657,8989,2017-11-19,Wizards,sore left knee / left knee inflammation (DTD),John Wall ,2017-11-19,2017,"['sore', 'left', 'knee', '/', 'left', 'knee', 'inflammation', '(', 'dtd', ')']","['left', 'knee', 'left', 'knee']","['sore', 'inflammation']",['dtd'],
7660,8996,2017-11-21,Bucks,arthroscopic surgery on left knee to repair torn cartilage (out indefinitely),Mirza Teletovic,2017-11-21,2017,"['arthroscopic', 'surgery', 'on', 'left', 'knee', 'to', 'repair', 'torn', 'cartilage', '(', 'out', 'indefinitely', ')']","['left', 'knee']","['surgery', 'torn']",['indefinitely'],
7670,9012,2017-11-25,Knicks,tightness in lower back (DTD),Kristaps Porzingis,2017-11-25,2017,"['tightness', 'in', 'lower', 'back', '(', 'dtd', ')']",['back'],['tightness'],['dtd'],
7673,9017,2017-11-26,Rockets,strained right shoulder (DTD),Nene Hilario ,2017-11-26,2017,"['strained', 'right', 'shoulder', '(', 'dtd', ')']","['right', 'shoulder']",['strained'],['dtd'],
7685,9032,2017-11-29,Knicks,sore ankle (DTD),Kristaps Porzingis,2017-11-29,2017,"['sore', 'ankle', '(', 'dtd', ')']",['ankle'],['sore'],['dtd'],
7687,9035,2017-11-29,Rockets,sore left calf (DTD),Qi Zhou,2017-11-29,2017,"['sore', 'left', 'calf', '(', 'dtd', ')']","['left', 'calf']",['sore'],['dtd'],
7689,9039,2017-11-30,Nuggets,sprained left ankle (DTD),Nikola Jokic,2017-11-30,2017,"['sprained', 'left', 'ankle', '(', 'dtd', ')']","['left', 'ankle']",['sprained'],['dtd'],
7693,9045,2017-12-02,Hawks,left shoulder injury (out indefinitely),John Collins ,2017-12-02,2017,"['left', 'shoulder', 'injury', '(', 'out', 'indefinitely', ')']","['left', 'shoulder']",['injury'],['indefinitely'],
7696,9049,2017-12-02,Rockets,sprained MCL in right knee (DTD),Troy Williams,2017-12-02,2017,"['sprained', 'mcl', 'in', 'right', 'knee', '(', 'dtd', ')']","['right', 'knee']",['sprained'],['dtd'],willitr02
7698,9051,2017-12-03,Spurs,rest (DTD),Manu Ginobili,2017-12-03,2017,"['rest', '(', 'dtd', ')']",[],['rest'],"['rest', 'dtd']",
7709,9066,2017-12-06,Hornets,took leave of absense as head coach with heath issue,Steve Clifford,2017-12-06,2017,"['took', 'leave', 'of', 'absense', 'as', 'head', 'coach', 'with', 'heath', 'issue']",['head'],[],[],
7712,9070,2017-12-07,76ers,eye injury (DTD),Dario Saric,2017-12-07,2017,"['eye', 'injury', '(', 'dtd', ')']",['eye'],['injury'],['dtd'],
7716,9075,2017-12-07,Pelicans,surgery on right knee (out indefinitely),Alex Ajinca,2017-12-07,2017,"['surgery', 'on', 'right', 'knee', '(', 'out', 'indefinitely', ')']","['right', 'knee']",['surgery'],['indefinitely'],
7717,9076,2017-12-07,Rockets,scratched cornea (DTD),Nene Hilario ,2017-12-07,2017,"['scratched', 'cornea', '(', 'dtd', ')']",[],[],['dtd'],
7719,9078,2017-12-08,Blazers,sprained right ankle (DTD),Jusuf Nurkic,2017-12-08,2017,"['sprained', 'right', 'ankle', '(', 'dtd', ')']","['right', 'ankle']",['sprained'],['dtd'],
7728,9090,2017-12-09,Nets,sore left leg (DTD),Billy Ouattara,2017-12-09,2017,"['sore', 'left', 'leg', '(', 'dtd', ')']","['left', 'leg']",['sore'],['dtd'],
7746,9121,2017-12-14,Bucks,pulmonary embolism (out indefinitely),Mirza Teletovic,2017-12-14,2017,"['pulmonary', 'embolism', '(', 'out', 'indefinitely', ')']",[],[],['indefinitely'],
7749,9125,2017-12-15,Cavaliers,left shoulder subluxation (out) indefinitely,John Holland,2017-12-15,2017,"['left', 'shoulder', 'subluxation', '(', 'out', ')', 'indefinitely']","['left', 'shoulder']",[],['indefinitely'],hollajo02
7767,9151,2017-12-17,Wizards,hip injury / bruised right thigh (DTD),Otto Porter Jr.,2017-12-17,2017,"['hip', 'injury', '/', 'bruised', 'right', 'thigh', '(', 'dtd', ')']","['hip', 'right']","['injury', 'bruised']",['dtd'],
7770,9154,2017-12-18,Clippers,sore left foot (DTD),Wes Johnson,2017-12-18,2017,"['sore', 'left', 'foot', '(', 'dtd', ')']","['left', 'foot']",['sore'],['dtd'],
7771,9155,2017-12-18,Heat,sore left elbow (DTD),Goran Dragic,2017-12-18,2017,"['sore', 'left', 'elbow', '(', 'dtd', ')']","['left', 'elbow']",['sore'],['dtd'],
7784,9174,2017-12-21,Spurs,rest (DTD),Manu Ginobili,2017-12-21,2017,"['rest', '(', 'dtd', ')']",[],['rest'],"['rest', 'dtd']",
7785,9176,2017-12-22,Clippers,rest (DTD),Milos Teodosic,2017-12-22,2017,"['rest', '(', 'dtd', ')']",[],['rest'],"['rest', 'dtd']",
7786,9177,2017-12-22,Hawks,left ankle injury (DTD),Dennis Schroder,2017-12-22,2017,"['left', 'ankle', 'injury', '(', 'dtd', ')']","['left', 'ankle']",['injury'],['dtd'],
7790,9188,2017-12-23,Magic,fractured left hand (out indefinitely),Nikola Vucevic,2017-12-23,2017,"['fractured', 'left', 'hand', '(', 'out', 'indefinitely', ')']","['left', 'hand']",['fractured'],['indefinitely'],
7796,9201,2017-12-27,Pistons,sprained right ankle (out indefinitely),Reggie Jackson ,2017-12-27,2017,"['sprained', 'right', 'ankle', '(', 'out', 'indefinitely', ')']","['right', 'ankle']",['sprained'],['indefinitely'],
7801,9207,2017-12-29,Rockets,undisclosed (DTD),Nene Hilario ,2017-12-29,2017,"['undisclosed', '(', 'dtd', ')']",[],[],['dtd'],
7807,9214,2017-12-30,Nuggets,illness (DTD),Juan Hernangomez,2017-12-30,2017,"['illness', '(', 'dtd', ')']",[],['illness'],['dtd'],
7810,9222,2018-01-01,Kings,bruised right heel (DTD),Frank Mason,2018-01-01,2018,"['bruised', 'right', 'heel', '(', 'dtd', ')']",['right'],['bruised'],['dtd'],masonfr01
7816,9232,2018-01-03,Spurs,rest (DTD),Manu Ginobili,2018-01-03,2018,"['rest', '(', 'dtd', ')']",[],['rest'],"['rest', 'dtd']",
7817,9233,2018-01-04,Rockets,virus (DTD),Chinanu Onuaku,2018-01-04,2018,"['virus', '(', 'dtd', ')']",[],['virus'],['dtd'],onuakch01
7818,9234,2018-01-05,Heat,illness (DTD),Derrick Walton Jr.,2018-01-05,2018,"['illness', '(', 'dtd', ')']",[],['illness'],['dtd'],
7822,9241,2018-01-06,Clippers,sore plantar fascia in left foot (DTD),Milos Teodosic,2018-01-06,2018,"['sore', 'plantar', 'fascia', 'in', 'left', 'foot', '(', 'dtd', ')']","['plantar', 'left', 'foot']",['sore'],['dtd'],
7829,9250,2018-01-08,Bulls,stomach virus (DTD),Nikola Mirotic,2018-01-08,2018,"['stomach', 'virus', '(', 'dtd', ')']",['stomach'],['virus'],['dtd'],
7831,9253,2018-01-08,Spurs,rest (DTD),Manu Ginobili,2018-01-08,2018,"['rest', '(', 'dtd', ')']",[],['rest'],"['rest', 'dtd']",
7840,9270,2018-01-11,Rockets,right elbow injury (DTD),Qi Zhou,2018-01-11,2018,"['right', 'elbow', 'injury', '(', 'dtd', ')']","['right', 'elbow']",['injury'],['dtd'],
7854,9295,2018-01-16,Mavericks,strained left groin (DTD),Jose Barea ,2018-01-16,2018,"['strained', 'left', 'groin', '(', 'dtd', ')']","['left', 'groin']",['strained'],['dtd'],
7855,9296,2018-01-16,Spurs,bruised right thigh (DTD),Manu Ginobili,2018-01-16,2018,"['bruised', 'right', 'thigh', '(', 'dtd', ')']",['right'],['bruised'],['dtd'],
7866,9311,2018-01-20,Heat,bruised left knee (DTD),Goran Dragic,2018-01-20,2018,"['bruised', 'left', 'knee', '(', 'dtd', ')']","['left', 'knee']",['bruised'],['dtd'],
7871,9317,2018-01-20,Rockets,illness (DTD),Troy Williams,2018-01-20,2018,"['illness', '(', 'dtd', ')']",[],['illness'],['dtd'],willitr02
7877,9326,2018-01-23,Knicks,irritation in left knee (DTD),Kristaps Porzingis,2018-01-23,2018,"['irritation', 'in', 'left', 'knee', '(', 'dtd', ')']","['left', 'knee']",['irritation'],['dtd'],
7893,9352,2018-01-27,Grizzlies,surgery on left heel to smooth bone (out for season) (date approximate),Mike Conley Jr.,2018-01-27,2018,"['surgery', 'on', 'left', 'heel', 'to', 'smooth', 'bone', '(', 'out', 'for', 'season', ')', '(', 'date', 'approximate', ')']","['left', 'bone']",['surgery'],['season'],
7895,9354,2018-01-27,Mavericks,strained left oblique (DTD),Jose Barea ,2018-01-27,2018,"['strained', 'left', 'oblique', '(', 'dtd', ')']","['left', 'oblique']",['strained'],['dtd'],
7901,9362,2018-01-28,Kings,sprained left ankle (DTD),Malachi Richardson,2018-01-28,2018,"['sprained', 'left', 'ankle', '(', 'dtd', ')']","['left', 'ankle']",['sprained'],['dtd'],
7915,9384,2018-01-31,Wizards,arthroscopic surgery on left knee (out indefinitely),John Wall ,2018-01-31,2018,"['arthroscopic', 'surgery', 'on', 'left', 'knee', '(', 'out', 'indefinitely', ')']","['left', 'knee']",['surgery'],['indefinitely'],
7926,9398,2018-02-04,Hawks,strained left adductor (DTD),DeAndre Bembry,2018-02-04,2018,"['strained', 'left', 'adductor', '(', 'dtd', ')']","['left', 'adductor']",['strained'],['dtd'],
7933,9410,2018-02-06,Knicks,torn ACL in left knee (out for season),Kristaps Porzingis,2018-02-06,2018,"['torn', 'acl', 'in', 'left', 'knee', '(', 'out', 'for', 'season', ')']","['acl', 'left', 'knee']",['torn'],['season'],
7940,9418,2018-02-08,Hawks,strained left adductor (DTD),DeAndre Bembry,2018-02-08,2018,"['strained', 'left', 'adductor', '(', 'dtd', ')']","['left', 'adductor']",['strained'],['dtd'],
7942,9420,2018-02-08,Mavericks,sprained left ankle (DTD),Johnathan Motley,2018-02-08,2018,"['sprained', 'left', 'ankle', '(', 'dtd', ')']","['left', 'ankle']",['sprained'],['dtd'],motlejo01
7944,9423,2018-02-09,Clippers,sore right foot (DTD),Milos Teodosic,2018-02-09,2018,"['sore', 'right', 'foot', '(', 'dtd', ')']","['right', 'foot']",['sore'],['dtd'],
7945,9424,2018-02-09,Hawks,strained left adductor (DTD),DeAndre Bembry,2018-02-09,2018,"['strained', 'left', 'adductor', '(', 'dtd', ')']","['left', 'adductor']",['strained'],['dtd'],
7949,9431,2018-02-10,Grizzlies,sore right knee (DTD),Wayne Selden Jr.,2018-02-10,2018,"['sore', 'right', 'knee', '(', 'dtd', ')']","['right', 'knee']",['sore'],['dtd'],
7952,9437,2018-02-11,Mavericks,rest (DTD),Jose Barea ,2018-02-11,2018,"['rest', '(', 'dtd', ')']",[],['rest'],"['rest', 'dtd']",
7957,9445,2018-02-13,Knicks,surgery on left knee to repair torn ACL (out for season),Kristaps Porzingis,2018-02-13,2018,"['surgery', 'on', 'left', 'knee', 'to', 'repair', 'torn', 'acl', '(', 'out', 'for', 'season', ')']","['left', 'knee', 'acl']","['surgery', 'torn']",['season'],
7959,9450,2018-02-14,Hawks,tightness in lower back (DTD),Dennis Schroder,2018-02-14,2018,"['tightness', 'in', 'lower', 'back', '(', 'dtd', ')']",['back'],['tightness'],['dtd'],
7969,9465,2018-02-22,Hawks,left ankle injury (DTD),Antonius Cleveland,2018-02-22,2018,"['left', 'ankle', 'injury', '(', 'dtd', ')']","['left', 'ankle']",['injury'],['dtd'],clevean01
7977,9473,2018-02-25,Spurs,bruised sternum (DTD),Manu Ginobili,2018-02-25,2018,"['bruised', 'sternum', '(', 'dtd', ')']",[],['bruised'],['dtd'],
7979,9476,2018-02-26,Hawks,strained abdominal (DTD),DeAndre Bembry,2018-02-26,2018,"['strained', 'abdominal', '(', 'dtd', ')']",[],['strained'],['dtd'],
7995,9501,2018-03-03,Grizzlies,sore right knee (DTD),Wayne Selden Jr.,2018-03-03,2018,"['sore', 'right', 'knee', '(', 'dtd', ')']","['right', 'knee']",['sore'],['dtd'],
7999,9509,2018-03-04,Wizards,sore left foot (DTD),Kelly Oubre Jr.,2018-03-04,2018,"['sore', 'left', 'foot', '(', 'dtd', ')']","['left', 'foot']",['sore'],['dtd'],
8021,9539,2018-03-11,Hawks,sprained left elbow (DTD),Dennis Schroder,2018-03-11,2018,"['sprained', 'left', 'elbow', '(', 'dtd', ')']","['left', 'elbow']",['sprained'],['dtd'],
8023,9541,2018-03-11,Mavericks,fractured right fibula (out for season),Wes Matthews Jr.,2018-03-11,2018,"['fractured', 'right', 'fibula', '(', 'out', 'for', 'season', ')']",['right'],['fractured'],['season'],
8028,9547,2018-03-12,Hawks,sprained left ankle (out for season),Jaylen Morris,2018-03-12,2018,"['sprained', 'left', 'ankle', '(', 'out', 'for', 'season', ')']","['left', 'ankle']",['sprained'],['season'],
8038,9561,2018-03-14,Pacers,sprained left ankle (DTD),Domas Sabonis,2018-03-14,2018,"['sprained', 'left', 'ankle', '(', 'dtd', ')']","['left', 'ankle']",['sprained'],['dtd'],
8039,9562,2018-03-14,Rockets,rib injury (DTD),Qi Zhou,2018-03-14,2018,"['rib', 'injury', '(', 'dtd', ')']",['rib'],['injury'],['dtd'],
8040,9565,2018-03-16,76ers,patellar tendinitis in right knee (DTD),Timothe Luwawu-Cabarrot,2018-03-16,2018,"['patellar', 'tendinitis', 'in', 'right', 'knee', '(', 'dtd', ')']","['right', 'knee']",['tendinitis'],['dtd'],
8050,9582,2018-03-19,Cavaliers,took leave of absence as head coach to address health issues,Tyronn Lue,2018-03-19,2018,"['took', 'leave', 'of', 'absence', 'as', 'head', 'coach', 'to', 'address', 'health', 'issues']",['head'],[],[],
8052,9584,2018-03-19,Hawks,sprained left ankle (DTD),John Collins ,2018-03-19,2018,"['sprained', 'left', 'ankle', '(', 'dtd', ')']","['left', 'ankle']",['sprained'],['dtd'],
8057,9590,2018-03-21,Grizzlies,right heel injury (DTD),Ivan Rabb,2018-03-21,2018,"['right', 'heel', 'injury', '(', 'dtd', ')']",['right'],['injury'],['dtd'],rabbiv01
8063,9599,2018-03-22,Hawks,rest (DTD),Dennis Schroder,2018-03-22,2018,"['rest', '(', 'dtd', ')']",[],['rest'],"['rest', 'dtd']",
8069,9605,2018-03-23,Grizzlies,right heel injury (DTD),Ivan Rabb,2018-03-23,2018,"['right', 'heel', 'injury', '(', 'dtd', ')']",['right'],['injury'],['dtd'],rabbiv01
8074,9614,2018-03-24,Pelicans,hip injury (DTD),Nikola Mirotic,2018-03-24,2018,"['hip', 'injury', '(', 'dtd', ')']",['hip'],['injury'],['dtd'],
8075,9615,2018-03-24,Pelicans,right hip flexor injury (DTD),Nikola Mirotic,2018-03-24,2018,"['right', 'hip', 'flexor', 'injury', '(', 'dtd', ')']","['right', 'hip', 'flexor']",['injury'],['dtd'],
8079,9620,2018-03-25,Hawks,sprained left ankle (out for season),Dennis Schroder,2018-03-25,2018,"['sprained', 'left', 'ankle', '(', 'out', 'for', 'season', ')']","['left', 'ankle']",['sprained'],['season'],
8089,9631,2018-03-27,Pelicans,surgery on left knee (out for season),Alex Ajinca,2018-03-27,2018,"['surgery', 'on', 'left', 'knee', '(', 'out', 'for', 'season', ')']","['left', 'knee']",['surgery'],['season'],
8092,9636,2018-03-27,Blazers,surgery on left knee (out indefinitely),Moe Harkless,2018-03-27,2018,"['surgery', 'on', 'left', 'knee', '(', 'out', 'indefinitely', ')']","['left', 'knee']",['surgery'],['indefinitely'],
8099,9643,2018-03-28,Clippers,plantar fascia in left foot (out for season),Milos Teodosic,2018-03-28,2018,"['plantar', 'fascia', 'in', 'left', 'foot', '(', 'out', 'for', 'season', ')']","['plantar', 'left', 'foot']",[],['season'],
8103,9649,2018-03-28,Magic,illness (DTD),Wes Iwundu,2018-03-28,2018,"['illness', '(', 'dtd', ')']",[],['illness'],['dtd'],
8109,9657,2018-03-29,Bulls,sore lower back (DTD),Cristiano Felicio,2018-03-29,2018,"['sore', 'lower', 'back', '(', 'dtd', ')']",['back'],['sore'],['dtd'],
8130,9693,2018-04-01,Wizards,rest (DTD),John Wall ,2018-04-01,2018,"['rest', '(', 'dtd', ')']",[],['rest'],"['rest', 'dtd']",
8132,9695,2018-04-02,Knicks,fractured jaw (out for season),Troy Williams,2018-04-02,2018,"['fractured', 'jaw', '(', 'out', 'for', 'season', ')']",['jaw'],['fractured'],['season'],willitr02
8135,9699,2018-04-03,Grizzlies,sore right knee (out for season),Wayne Selden Jr.,2018-04-03,2018,"['sore', 'right', 'knee', '(', 'out', 'for', 'season', ')']","['right', 'knee']",['sore'],['season'],
8137,9701,2018-04-03,Kings,sprained left ankle (out for season),Skal Labissiere,2018-04-03,2018,"['sprained', 'left', 'ankle', '(', 'out', 'for', 'season', ')']","['left', 'ankle']",['sprained'],['season'],
8147,9722,2018-04-05,Suns,sore right knee (out for season),Alan Williams,2018-04-05,2018,"['sore', 'right', 'knee', '(', 'out', 'for', 'season', ')']","['right', 'knee']",['sore'],['season'],willial03
8150,9726,2018-04-06,Magic,tightness in lower back (DTD),Nikola Vucevic,2018-04-06,2018,"['tightness', 'in', 'lower', 'back', '(', 'dtd', ')']",['back'],['tightness'],['dtd'],
8156,9733,2018-04-07,Knicks,sprained left ankle (out for season),Tim Hardaway Jr.,2018-04-07,2018,"['sprained', 'left', 'ankle', '(', 'out', 'for', 'season', ')']","['left', 'ankle']",['sprained'],['season'],
8162,9745,2018-04-09,Kings,partially torn plantar fascia in left foot (out for season),Frank Mason,2018-04-09,2018,"['partially', 'torn', 'plantar', 'fascia', 'in', 'left', 'foot', '(', 'out', 'for', 'season', ')']","['plantar', 'left', 'foot']","['partially', 'torn']",['season'],masonfr01
8167,9751,2018-04-10,Thunder,concussion (DTD),Alex Abrines,2018-04-10,2018,"['concussion', '(', 'dtd', ')']",[],['concussion'],['dtd'],
8175,9760,2018-04-12,Hawks,fractured right wrist (out for season),DeAndre Bembry,2018-04-12,2018,"['fractured', 'right', 'wrist', '(', 'out', 'for', 'season', ')']","['right', 'wrist']",['fractured'],['season'],
8176,9766,2018-04-18,Timberwolves,surgery on left foot (out for season),Justin Patton,2018-04-18,2018,"['surgery', 'on', 'left', 'foot', '(', 'out', 'for', 'season', ')']","['left', 'foot']",['surgery'],['season'],
8180,9772,2018-04-27,Wizards,surgery on left leg to remove blood around a contusion (out indefinitely),Otto Porter Jr.,2018-04-27,2018,"['surgery', 'on', 'left', 'leg', 'to', 'remove', 'blood', 'around', 'a', 'contusion', '(', 'out', 'indefinitely', ')']","['left', 'leg', 'blood']","['surgery', 'contusion']",['indefinitely'],
8189,9784,2018-10-03,Bulls,illness (out indefinitely),Omer Asik,2018-10-03,2018,"['illness', '(', 'out', 'indefinitely', ')']",[],['illness'],['indefinitely'],
8198,9794,2018-10-16,Nuggets,right foot injury (DTD),Jarred Vanderbilt,2018-10-16,2018,"['right', 'foot', 'injury', '(', 'dtd', ')']","['right', 'foot']",['injury'],['dtd'],vandeja01
8200,9796,2018-10-16,Rockets,strained right calf (out indefinitely),Nene Hilario ,2018-10-16,2018,"['strained', 'right', 'calf', '(', 'out', 'indefinitely', ')']","['right', 'calf']",['strained'],['indefinitely'],
8203,9799,2018-10-17,Bucks,left eye injury (DTD),Trevon Duval,2018-10-17,2018,"['left', 'eye', 'injury', '(', 'dtd', ')']","['left', 'eye']",['injury'],['dtd'],
8207,9803,2018-10-17,Kings,left knee injury (out indefinitely),Bogdan Bogdanovic,2018-10-17,2018,"['left', 'knee', 'injury', '(', 'out', 'indefinitely', ')']","['left', 'knee']",['injury'],['indefinitely'],
8209,9805,2018-10-17,Knicks,recovering from surgery on left knee to repair torn ACL (out for season),Kristaps Porzingis,2018-10-17,2018,"['recovering', 'from', 'surgery', 'on', 'left', 'knee', 'to', 'repair', 'torn', 'acl', '(', 'out', 'for', 'season', ')']","['left', 'knee', 'acl']","['surgery', 'torn']",['season'],
8211,9807,2018-10-17,Nets,ankle injury (DTD),Alan Williams,2018-10-17,2018,"['ankle', 'injury', '(', 'dtd', ')']",['ankle'],['injury'],['dtd'],willial03
8213,9809,2018-10-17,Nuggets,surgery on back (out for season),Michael Porter Jr.,2018-10-17,2018,"['surgery', 'on', 'back', '(', 'out', 'for', 'season', ')']",['back'],['surgery'],['season'],
8218,9814,2018-10-17,Rockets,sprained left knee (DTD),Qi Zhou,2018-10-17,2018,"['sprained', 'left', 'knee', '(', 'dtd', ')']","['left', 'knee']",['sprained'],['dtd'],
8219,9815,2018-10-17,Timberwolves,right foot injury (DTD),Justin Patton,2018-10-17,2018,"['right', 'foot', 'injury', '(', 'dtd', ')']","['right', 'foot']",['injury'],['dtd'],
8220,9816,2018-10-18,Bulls,sprained left ankle (DTD),Cristiano Felicio,2018-10-18,2018,"['sprained', 'left', 'ankle', '(', 'dtd', ')']","['left', 'ankle']",['sprained'],['dtd'],
8223,9819,2018-10-18,Lakers,bruised left knee (DTD),Moe Wagner,2018-10-18,2018,"['bruised', 'left', 'knee', '(', 'dtd', ')']","['left', 'knee']",['bruised'],['dtd'],
8234,9840,2018-10-23,Nets,sprained left ankle (DTD),Rodions Kurucs,2018-10-23,2018,"['sprained', 'left', 'ankle', '(', 'dtd', ')']","['left', 'ankle']",['sprained'],['dtd'],kurucro01
8241,9851,2018-10-26,Mavericks,sprained right ankle (DTD),Dennis Smith Jr.,2018-10-26,2018,"['sprained', 'right', 'ankle', '(', 'dtd', ')']","['right', 'ankle']",['sprained'],['dtd'],
8244,9859,2018-10-28,Blazers,left knee injury (DTD),Moe Harkless,2018-10-28,2018,"['left', 'knee', 'injury', '(', 'dtd', ')']","['left', 'knee']",['injury'],['dtd'],
